Id,Name,Symbol,Slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap
3890,Polygon,MATIC,polygon,1266,2019-04-28 00:00:00,10000000000,9610774784,10000000000,0.80734168,464421814.14286536,34.11140000,0.68408042,-0.80733444,10.17752748,-18.82575800,1.03125241,24.12675173,7759179078.58732100,0.46800000,8073416819.39000000
3897,OKB,OKB,okb,114,2019-04-30 00:00:00,,60000000,300000000,51.10143525,10253218.65965493,-36.54500000,-0.34164252,-3.48947100,8.48796619,-7.17974376,-11.93292482,12.60162516,3066086114.80126400,0.18480000,15330430574.01000000
3957,UNUS SED LEO,LEO,unus-sed-leo,43,2019-05-21 00:00:00,,927739256,985239504,3.95772832,2245726.41448343,56.02860000,-0.22249773,-0.47290109,-2.60318409,0.67810416,-0.92992890,2.23755185,3671739927.64232640,0.22130000,3899310288.02000000
4030,Algorand,ALGO,algorand,390,2019-06-20 00:00:00,10000000000,8046494480,8046494480,0.16227405,36446127.14941929,-15.76580000,0.81739359,-3.43619746,-0.85995032,-29.54462633,11.42506619,47.82118655,1305737219.72669770,0.07870000,1622740465.39000000
4066,Chiliz,CHZ,chiliz,424,2019-07-01 00:00:00,8888888888,8888290622,8888888888,0.10067605,69198664.13817169,-8.20940000,1.01171144,-3.58249868,3.96992252,13.80817352,33.28443462,45.82888890,894837996.04763870,0.05400000,894898227.14000000
4157,THORChain,RUNE,thorchain,170,2019-07-23 00:00:00,,339543459,482362467,4.87253591,241289600.37410936,-1.59450000,2.44202528,3.42768367,18.95742920,-7.18511877,-31.91361906,75.71796376,1654437698.59971000,0.09960000,2350328444.39000000
4195,FTX Token,FTT,ftx-token,214,2019-07-31 00:00:00,352170015,328895104,328895104,2.37761669,80614386.96193537,417.44780000,-10.32105783,-12.32739562,-11.28537553,-23.16193248,-43.09760757,88.26464700,781986488.10873850,0.04710000,837325305.41000000
4256,Klaytn,KLAY,klaytn,245,2020-03-30 00:00:00,,3486604237,5889989137,0.19567391,18350618.84911415,18.02260000,0.48124391,-5.69348130,3.40213822,-25.49753958,3.05291691,47.49112271,682237469.79157350,0.04110000,1152517181.07000000
4558,Flow,FLOW,flow,174,2021-01-27 00:00:00,,1485069351,1485069351,0.73153847,47688077.85702336,11.03990000,0.66064010,-3.46115790,-2.36022297,-21.72337705,7.39930621,36.76252723,1086385364.81094310,0.06550000,1086385364.74000000
4642,Hedera,HBAR,hedera,212,2019-09-17 00:00:00,50000000000,33662975832,50000000000,0.07059303,52586056.63502783,38.40020000,0.03991125,-4.77906506,-2.22006129,-18.99342295,15.02435034,31.31755112,2376371435.05988100,0.14330000,3529651458.80000000
4846,Kava,KAVA,kava,150,2019-10-25 00:00:00,,1082861778,1082861778,0.72468848,24064320.37175076,-0.77570000,0.42534086,-2.89041091,3.98336084,-20.26336152,-9.76095610,7.67020148,784737457.56168800,0.04730000,784737457.56000000
4847,Stacks,STX,stacks,149,2019-10-28 00:00:00,1818000000,1437247618,1818000000,1.55304885,84695984.26262563,-28.10420000,-0.25393040,-1.88783141,7.23105220,4.34467750,102.17976653,151.05466447,2232115764.88421730,0.13460000,2823442815.85000000
4943,Dai,DAI,multi-collateral-dai,3023,2019-11-22 00:00:00,,5347888596,5347888596,1.00003399,180167328.39180028,16.88200000,0.00623542,-0.01521394,0.00366811,-0.00690198,0.04400216,0.04621830,5348070356.31699000,0.32260000,5348070356.32000000
5426,Solana,SOL,solana,623,2020-04-10 00:00:00,,435748888,568383638,101.26076846,3584871827.68150300,10.80510000,0.21352252,-2.92679242,15.73168413,-5.18293332,63.92471900,154.55653377,44124267266.63766500,2.65660000,57554963958.69000000
5665,Helium,HNT,helium,118,2020-06-05 00:00:00,223000000,160683534,160683534,7.77840278,14731504.22235776,-17.91990000,3.00052782,-3.58510150,10.48760975,9.06760788,170.45226293,414.04272783,1249861248.76428650,0.07540000,1734583820.15000000
5690,Render,RNDR,render,292,2020-06-11 00:00:00,536870912,376146336,531039933,4.56548351,201190732.21543363,26.57590000,0.71870505,-1.33796421,19.12053807,-1.75706511,30.92910528,97.76359452,1717289893.07937480,0.10350000,2451075295.95000000
